Prompting_Strategy,Prompt_Template,F1,F2,F3,CS,CSP,Complexity_Level,
0shot,1,1.0,1.0,0.583333333333333,0.833333333333333,1.0,low,
0shot,1,0.615384615384615,0.545454545454545,0.846153846153846,0.571428571428571,1.0,low,
0shot,1,0.785714285714286,0.615384615384615,0.857142857142857,0.0,0.0,low,
0shot,1,1.0,1.0,1.0,0.0,0.0,low,
0shot,1,0.894736842105263,0.875,0.705882352941177,0.25,1.0,low,
0shot,1,0.974358974358974,0.933333333333333,0.8125,0.5,1.0,low,
0shot,1,1.0,1.0,0.666666666666667,0.0,0.0,low,
0shot,1,0.923076923076923,0.8,0.8,0.714285714285714,1.0,low,
0shot,1,0.871794871794872,0.666666666666667,0.705882352941177,0.125,1.0,low,
0shot,1,1.0,1.0,1.0,0.2,1.0,low,
0shot,1,0.8,0.7,0.91304347826087,0.25,1.0,low,
0shot,1,0.727272727272727,0.588235294117647,0.679245283018868,0.0,0.0,low,
0shot,1,0.727272727272727,0.625,0.641509433962264,0.0,0.0,low,
0shot,1,0.984615384615385,0.933333333333333,0.861538461538461,0.25,1.0,low,
0shot,1,0.786885245901639,0.666666666666667,0.627450980392157,0.0833333333333333,1.0,low,
0shot,1,0.794117647058823,0.571428571428572,0.741935483870968,0.0666666666666667,1.0,medium,
0shot,1,0.581818181818182,0.823529411764706,0.488888888888889,0.5,1.0,medium,
0shot,1,0.892307692307692,0.727272727272727,0.862068965517241,0.0,0.0,medium,
0shot,1,0.666666666666667,0.5,0.518518518518518,0.125,1.0,medium,
0shot,1,0.788732394366197,0.615384615384615,0.53125,0.0,0.0,medium,
0shot,1,0.746666666666667,0.416666666666667,0.835820895522388,0.0,0.0,medium,
0shot,1,0.898550724637681,0.857142857142857,0.861538461538461,0.0,0.0,medium,
0shot,1,0.619718309859155,0.7,0.447761194029851,0.0,0.0,medium,
0shot,1,0.844444444444444,0.56,0.921348314606742,0.173913043478261,1.0,medium,
0shot,1,0.674157303370786,0.705882352941176,0.674157303370786,0.0,0.0,medium,
0shot,1,0.76,0.444444444444444,0.608695652173913,0.0,0.0,medium,
0shot,1,0.585858585858586,0.526315789473684,0.373626373626374,0.037037037037037,1.0,medium,
0shot,1,0.53448275862069,0.285714285714286,0.557692307692308,0.0,0.0,high,
0shot,1,0.705882352941177,0.5,0.454545454545455,0.0,0.0,high,
0shot,1,0.655737704918033,0.315789473684211,0.421052631578947,0.0,0.0,high,
0shot,1,0.621212121212121,0.555555555555556,0.520325203252032,0.0,0.0,high,
0shot,1,0.712328767123288,0.631578947368421,0.802816901408451,0.0,0.0,high,
0shot,1,0.264705882352941,0.285714285714286,0.198473282442748,0.0204081632653061,1.0,high,
0shot,2,0.888888888888889,0.833333333333333,0.956521739130435,1.16666666666667,1.0,low,
0shot,2,0.615384615384615,0.545454545454545,0.692307692307692,1.0,1.0,low,
0shot,2,0.785714285714286,0.615384615384615,0.857142857142857,1.28571428571429,1.0,low,
0shot,2,1.0,1.0,1.0,1.0,1.0,low,
0shot,2,0.684210526315789,0.714285714285714,0.529411764705882,0.625,1.0,low,
0shot,2,0.974358974358974,0.933333333333333,0.875,0.5,1.0,low,
0shot,2,1.0,1.0,0.666666666666667,0.333333333333333,0.571428571428571,low,
0shot,2,0.923076923076923,0.8,0.666666666666667,1.0,1.0,low,
0shot,2,0.878048780487805,0.705882352941177,0.777777777777778,0.375,1.0,low,
0shot,2,0.958333333333333,0.875,1.0,0.8,0.888888888888889,low,
0shot,2,0.652173913043478,0.631578947368421,0.619047619047619,0.25,1.0,low,
0shot,2,0.771929824561404,0.666666666666667,0.679245283018868,0.181818181818182,1.0,low,
0shot,2,0.771929824561404,0.777777777777778,0.679245283018868,0.272727272727273,1.0,low,
0shot,2,0.952380952380952,0.857142857142857,0.888888888888889,0.625,1.0,low,
0shot,2,0.786885245901639,0.933333333333333,0.549019607843137,0.333333333333333,1.0,low,
0shot,2,0.78125,0.636363636363636,0.724137931034483,0.333333333333333,1.0,medium,
0shot,2,0.566037735849057,0.823529411764706,0.418604651162791,0.5,1.0,medium,
0shot,2,0.861538461538461,0.636363636363636,0.862068965517241,0.0666666666666667,1.0,medium,
0shot,2,0.65625,0.571428571428571,0.571428571428572,0.25,0.8,medium,
0shot,2,0.767123287671233,0.571428571428572,0.606060606060606,0.111111111111111,1.0,medium,
0shot,2,0.826666666666667,0.666666666666667,0.865671641791045,0.0588235294117647,0.5,medium,
0shot,2,0.845070422535211,0.758620689655172,0.892307692307692,0.0625,1.0,medium,
0shot,2,0.591549295774648,0.6,0.388059701492537,0.0454545454545455,1.0,medium,
0shot,2,0.91304347826087,0.88,0.422222222222222,0.0,0.0,medium,
0shot,2,0.808510638297872,0.888888888888889,0.842105263157895,0.0,0.0,medium,
0shot,2,0.831683168316832,0.444444444444444,0.608695652173913,0.0,0.0,medium,
0shot,2,0.606060606060606,0.526315789473684,0.373626373626374,0.037037037037037,1.0,medium,
0shot,2,0.547008547008547,0.285714285714286,0.584905660377358,0.0333333333333333,1.0,high,
0shot,2,0.64957264957265,0.555555555555556,0.38,0.08,1.0,high,
0shot,2,0.75,0.476190476190476,0.612903225806452,0.0,0.0,high,
0shot,2,0.608,0.555555555555556,0.448275862068966,0.0606060606060606,1.0,high,
0shot,2,0.724409448818898,0.666666666666667,0.462809917355372,0.0606060606060606,1.0,high,
0shot,2,0.426829268292683,0.384615384615385,0.194805194805195,0.0204081632653061,0.5,high,
0shot,3,0.888888888888889,0.833333333333333,0.956521739130435,1.33333333333333,0.888888888888889,low,
0shot,3,0.615384615384615,0.545454545454545,0.692307692307692,0.857142857142857,1.0,low,
0shot,3,0.857142857142857,0.769230769230769,0.857142857142857,0.857142857142857,1.0,low,
0shot,3,1.0,1.0,1.0,0.3,1.0,low,
0shot,3,0.894736842105263,0.875,0.529411764705882,0.75,1.0,low,
0shot,3,0.923076923076923,0.8,0.8125,0.5,1.0,low,
0shot,3,1.0,1.0,0.708333333333333,0.25,1.0,low,
0shot,3,0.923076923076923,0.8,0.8,0.714285714285714,1.0,low,
0shot,3,0.926829268292683,0.823529411764706,0.888888888888889,0.5,1.0,low,
0shot,3,1.0,1.0,0.95,0.6,1.0,low,
0shot,3,0.72,0.631578947368421,0.91304347826087,0.5,1.0,low,
0shot,3,0.736842105263158,0.666666666666667,0.452830188679245,0.181818181818182,1.0,low,
0shot,3,0.727272727272727,0.625,0.679245283018868,0.272727272727273,1.0,low,
0shot,3,0.984615384615385,0.933333333333333,0.861538461538461,0.25,1.0,low,
0shot,3,0.774193548387097,0.666666666666667,0.576923076923077,0.166666666666667,1.0,low,
0shot,3,0.78125,0.636363636363636,0.862068965517241,0.133333333333333,1.0,medium,
0shot,3,0.566037735849057,0.823529411764706,0.418604651162791,0.75,1.0,medium,
0shot,3,0.861538461538461,0.636363636363636,0.862068965517241,0.0,0.0,medium,
0shot,3,0.6875,0.6,0.642857142857143,0.25,1.0,medium,
0shot,3,0.789473684210526,0.571428571428572,0.666666666666667,0.0,0.0,medium,
0shot,3,0.746666666666667,0.416666666666667,0.895522388059701,0.0588235294117647,0.5,medium,
0shot,3,0.873239436619718,0.814814814814815,0.676923076923077,0.0625,1.0,medium,
0shot,3,0.558823529411765,0.631578947368421,0.375,0.0454545454545455,1.0,medium,
0shot,3,0.881720430107527,0.72,0.945054945054945,0.0,0.0,medium,
0shot,3,0.717391304347826,0.736842105263158,0.630434782608696,0.0,0.0,medium,
0shot,3,0.772277227722772,0.526315789473684,0.760869565217391,0.0,0.0,medium,
0shot,3,0.574257425742574,0.5,0.451612903225806,0.037037037037037,1.0,medium,
0shot,3,0.632478632478632,0.64,0.566037735849057,0.0,0.0,high,
0shot,3,0.743801652892562,0.631578947368421,0.423076923076923,0.08,1.0,high,
0shot,3,0.753846153846154,0.666666666666667,0.517241379310345,0.0,0.0,high,
0shot,3,0.610687022900763,0.555555555555556,0.508196721311476,0.0,0.0,high,
0shot,3,0.597014925373134,0.526315789473684,0.456692913385827,0.0,0.0,high,
0shot,3,0.482352941176471,0.32,0.363636363636364,0.0,0.0,high,
0shot,4,0.888888888888889,0.833333333333333,0.956521739130435,0.333333333333333,1.0,low,
0shot,4,0.615384615384615,0.545454545454545,0.692307692307692,1.42857142857143,1.0,low,
0shot,4,0.857142857142857,0.769230769230769,0.642857142857143,0.428571428571429,1.0,low,
0shot,4,1.0,1.0,1.0,0.2,1.0,low,
0shot,4,0.888888888888889,0.941176470588235,0.9375,0.875,1.0,low,
0shot,4,0.974358974358974,0.933333333333333,0.8125,0.25,1.0,low,
0shot,4,1.0,1.0,0.875,0.25,1.0,low,
0shot,4,0.923076923076923,0.8,0.8,0.857142857142857,1.0,low,
0shot,4,0.926829268292683,0.823529411764706,0.944444444444444,0.5,1.0,low,
0shot,4,0.978723404255319,0.933333333333333,0.95,0.7,0.875,low,
0shot,4,0.8,0.7,0.91304347826087,0.333333333333333,1.0,low,
0shot,4,0.724137931034483,0.777777777777778,0.740740740740741,0.181818181818182,1.0,low,
0shot,4,0.833333333333333,0.777777777777778,0.714285714285714,0.545454545454545,1.0,low,
0shot,4,0.984615384615385,0.933333333333333,0.984615384615385,1.0,1.0,low,
0shot,4,0.8125,0.8,0.814814814814815,0.166666666666667,1.0,low,
0shot,4,0.71875,0.6,0.862068965517241,0.2,1.0,medium,
0shot,4,0.642857142857143,0.75,0.608695652173913,0.25,1.0,medium,
0shot,4,0.892307692307692,0.727272727272727,0.862068965517241,0.0,0.0,medium,
0shot,4,0.746268656716418,0.666666666666667,0.847457627118644,0.0625,1.0,medium,
0shot,4,0.8,0.583333333333333,0.895522388059701,0.0588235294117647,0.5,medium,
